,Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
0,1,Tom Brady ,TAM,43,QB,12,12,7-5-0,307,474,64.8,3300,28,5.9,11,2.3,169,50,7.0,7.1,10.7,275.0,95.1,69.6,16,103,6.52,6.66,3.3,2,2
1,2,Ben Roethlisberger,PIT,38,QB,11,11,11-0-0,291,431,67.5,2800,25,5.8,6,1.4,146,84,6.5,7.0,9.6,254.5,99.0,65.7,10,87,6.15,6.67,2.3,3,3
2,3,Matt Ryan,ATL,35,QB,11,11,4-7-0,277,427,64.9,3163,17,4.0,8,1.9,165,63,7.4,7.4,11.4,287.5,92.5,69.4,28,178,6.56,6.52,6.2,,
3,4,Patrick Mahomes ,KAN,25,QB,11,11,10-1-0,291,423,68.8,3497,30,7.1,2,0.5,175,75,8.3,9.5,12.0,317.9,115.5,86.1,14,81,7.82,8.98,3.2,2,2
4,5,Carson Wentz ,PHI,28,QB,11,11,3-7-1,245,422,58.1,2541,16,3.8,15,3.6,126,59,6.0,5.2,10.4,231.0,73.4,49.6,46,304,4.78,4.02,9.8,3,2
5,6,Joe Burrow ,CIN,24,QB,10,10,2-7-1,264,404,65.3,2688,13,3.2,5,1.2,150,67,6.7,6.7,10.2,268.8,89.8,57.7,32,231,5.64,5.72,7.3,,
6,7,Jared Goff,LAR,26,QB,11,11,7-4-0,271,403,67.2,3021,16,4.0,10,2.5,145,56,7.5,7.2,11.1,274.6,92.3,57.3,15,111,6.96,6.65,3.6,0,1
7,8,Justin Herbert ,LAC,22,QB,10,10,2-8-0,269,402,66.9,3015,23,5.7,7,1.7,146,72,7.5,7.9,11.2,301.5,100.9,68.9,22,139,6.78,7.13,5.2,,
8,9,Russell Wilson ,SEA,32,QB,11,11,8-3-0,278,393,70.7,3216,31,7.9,10,2.5,158,62,8.2,8.6,11.6,292.4,110.8,74.9,35,204,7.04,7.43,8.2,2,2
9,10,Philip Rivers,IND,39,QB,11,11,7-4-0,263,391,67.3,2978,16,4.1,9,2.3,146,55,7.6,7.4,11.3,270.7,93.9,62.5,10,58,7.28,7.07,2.5,2,2
10,11,Josh Allen ,BUF,24,QB,11,11,8-3-0,267,388,68.8,3028,22,5.7,8,2.1,144,49,7.8,8.0,11.3,275.3,102.3,75.4,22,126,7.08,7.27,5.4,2,3
11,12,Kyler Murray ,ARI,23,QB,11,11,6-5-0,264,387,68.2,2814,19,4.9,9,2.3,150,80,7.3,7.2,10.7,255.8,95.9,72.7,18,88,6.73,6.67,4.4,3,3
12,13,Matthew Stafford,DET,32,QB,11,11,4-7-0,244,386,63.2,2876,18,4.7,8,2.1,144,73,7.5,7.5,11.8,261.5,92.7,61.3,31,216,6.38,6.38,7.4,2,3
13,14,Aaron Rodgers ,GNB,37,QB,11,11,8-3-0,261,381,68.5,3100,33,8.7,4,1.0,152,78,8.1,9.4,11.9,281.8,117.6,85.1,11,108,7.63,8.86,2.8,1,2
14,15,Teddy Bridgewater,CAR,28,QB,11,11,3-8-0,257,366,70.2,2819,14,3.8,8,2.2,137,75,7.7,7.5,11.0,256.3,96.3,71.0,19,118,7.02,6.81,4.9,,
15,16,Deshaun Watson ,HOU,25,QB,11,11,4-7-0,250,363,68.9,3201,24,6.6,5,1.4,149,77,8.8,9.5,12.8,291.0,112.5,74.2,28,151,7.80,8.45,7.2,,
16,17,Daniel Jones ,NYG,23,QB,11,11,4-7-0,228,361,63.2,2335,8,2.2,9,2.5,123,53,6.5,5.8,10.2,212.3,78.7,66.9,31,179,5.50,4.88,7.9,0,0
17,18,Derek Carr,LVR,29,QB,11,11,6-5-0,241,348,69.3,2646,19,5.5,4,1.1,130,72,7.6,8.2,11.0,240.5,104.9,73.6,17,100,6.98,7.52,4.7,1,3
18,19,Ryan Tannehill,TEN,32,QB,11,11,8-3-0,217,334,65.0,2608,23,6.9,4,1.2,137,73,7.8,8.6,12.0,237.1,106.7,76.7,15,112,7.15,7.95,4.3,4,5
19,20,Kirk Cousins ,MIN,32,QB,11,11,5-6-0,218,320,68.1,2768,23,7.2,11,3.4,132,71,8.7,8.5,12.7,251.6,104.5,67.8,21,113,7.79,7.68,6.2,1,2
20,21,Nick Foles,CHI,31,qb,8,7,2-5-0,202,311,65.0,1852,10,3.2,8,2.6,93,50,6.0,5.4,9.2,231.5,81.0,43.6,18,145,5.19,4.70,5.5,2,2
21,22,Drew Brees,NOR,41,qb,9,9,7-2-0,219,298,73.5,2196,18,6.0,3,1.0,115,52,7.4,8.1,10.0,244.0,110.0,81.1,10,70,6.90,7.63,3.2,1,3
22,23,Baker Mayfield,CLE,25,QB,11,11,8-3-0,180,294,61.2,2108,17,5.8,7,2.4,113,43,7.2,7.3,11.7,191.6,92.3,68.6,17,90,6.49,6.57,5.5,2,2
23,24,Lamar Jackson,BAL,23,QB,10,10,6-4-0,175,276,63.4,1948,15,5.4,6,2.2,100,47,7.1,7.2,11.1,194.8,93.4,61.8,24,138,6.03,6.13,8.0,,
24,25,Drew Lock,DEN,24,qb,8,8,3-5-0,149,268,55.6,1767,7,2.6,11,4.1,82,61,6.6,5.3,11.9,220.9,67.5,41.1,11,79,6.05,4.78,3.9,1,1
25,26,Gardner Minshew II,JAX,24,qb,7,7,1-6-0,176,267,65.9,1855,13,4.9,5,1.9,95,51,6.9,7.1,10.5,265.0,94.4,54.6,22,126,5.98,6.10,7.6,1,1
26,27,Cam Newton,NWE,31,QB,10,10,5-5-0,178,266,66.9,1984,4,1.5,9,3.4,101,50,7.5,6.2,11.1,198.4,79.8,50.6,18,104,6.62,5.48,6.3,1,2
27,28,Ryan Fitzpatrick,MIA,38,qb,8,7,4-3-0,174,254,68.5,1909,12,4.7,8,3.1,100,70,7.5,7.0,11.0,238.6,93.1,73.7,14,65,6.88,6.43,5.2,,
28,29,Dak Prescott ,DAL,27,qb,5,5,2-3-0,151,222,68.0,1856,9,4.1,4,1.8,93,58,8.4,8.4,12.3,371.2,99.6,79.0,10,66,7.72,7.72,4.3,1,1
29,30,Sam Darnold ,NYJ,23,qb,7,7,0-7-0,128,218,58.7,1242,3,1.4,8,3.7,55,69,5.7,4.3,9.7,177.4,64.0,36.5,22,148,4.56,3.31,9.2,,
30,31,Nick Mullens ,SFO,25,qb,7,5,2-3-0,139,206,67.5,1642,6,2.9,7,3.4,77,47,8.0,7.0,11.8,234.6,87.1,44.3,13,104,7.02,6.13,5.9,1,1
31,32,Alex Smith,WAS,36,qb,5,3,2-1-0,107,155,69.0,1067,3,1.9,5,3.2,50,68,6.9,5.8,10.0,213.4,81.3,39.9,15,94,5.72,4.75,8.8,,
32,33,Andy Dalton,DAL,33,qb,6,4,1-3-0,99,152,65.1,870,5,3.3,5,3.3,44,54,5.7,4.9,8.8,145.0,77.5,48.4,11,85,4.82,4.05,6.7,2,2
33,34,Dwayne Haskins ,WAS,23,qb,4,4,1-3-0,89,146,61.0,939,4,2.7,3,2.1,50,40,6.4,6.1,10.6,234.8,80.3,30.8,13,101,5.27,4.92,8.2,1,1
34,35,Jimmy Garoppolo,SFO,29,qb,6,6,3-3-0,94,140,67.1,1096,7,5.0,5,3.6,55,76,7.8,7.2,11.7,182.7,92.4,59.9,11,77,6.75,6.19,7.3,,
35,36,Joe Flacco,NYJ,35,qb,5,4,0-4-0,74,134,55.2,864,6,4.5,3,2.2,36,52,6.4,6.3,11.7,172.8,80.6,57.6,7,69,5.64,5.53,5.0,,
36,37,Mitchell Trubisky ,CHI,26,qb,5,4,3-1-0,77,132,58.3,802,9,6.8,5,3.8,52,28,6.1,5.7,10.4,160.4,83.0,53.1,10,71,5.15,4.83,7.0,1,1
37,38,Jake Luton,JAX,24,qb,3,3,0-3-0,60,110,54.5,624,2,1.8,6,5.5,31,73,5.7,3.6,10.4,208.0,54.5,43.5,7,52,4.89,2.92,6.0,,
38,39,Tua Tagovailoa ,MIA,22,qb,5,4,3-1-0,60,97,61.9,602,6,6.2,0,0.0,33,35,6.2,7.4,10.0,120.4,100.1,62.4,10,63,5.04,6.16,9.3,1,1
39,40,Kyle Allen,WAS,24,qb,4,4,1-3-0,60,87,69.0,610,4,4.6,1,1.1,30,52,7.0,7.4,10.2,152.5,99.3,73.3,7,44,6.02,6.39,7.4,,
40,41,Jeff Driskel,DEN,27,qb,3,1,0-1-0,35,64,54.7,432,3,4.7,2,3.1,18,45,6.8,6.3,12.3,144.0,78.4,44.3,11,98,4.45,4.05,14.7,,
41,42,Taysom Hill,NOR,30,qb,11,6,2-0-0,31,44,70.5,397,0,0.0,1,2.3,16,44,9.0,8.0,12.8,36.1,88.9,53.0,7,43,6.94,6.06,13.7,,
42,43,Ben DiNucci,DAL,24,qb,3,1,0-1-0,23,43,53.5,219,0,0.0,0,0.0,11,32,5.1,5.1,9.5,73.0,67.9,12.9,7,73,2.92,2.92,14.0,,
43,44,Phillip Walker ,CAR,25,qb,3,1,1-0-0,27,42,64.3,273,1,2.4,2,4.8,13,52,6.5,4.8,10.1,91.0,70.8,,2,16,5.84,4.25,4.5,,
44,45,Brett Rypien,DEN,24,qb,3,1,1-0-0,27,40,67.5,295,2,5.0,4,10.0,12,48,7.4,3.9,10.9,98.3,66.1,52.5,1,0,7.20,3.78,2.4,1,1
45,46,C.J. Beathard,SFO,27,,3,0,,23,38,60.5,232,1,2.6,0,0.0,14,20,6.1,6.6,10.1,77.3,86.7,48.7,3,29,4.95,5.44,7.3,,
46,47,Garrett Gilbert,DAL,29,qb,1,1,0-1-0,21,38,55.3,243,1,2.6,1,2.6,10,32,6.4,5.7,11.6,243.0,72.6,66.4,2,23,5.50,4.88,5.0,,
47,48,Mike Glennon,JAX,31,qb,1,1,0-1-0,20,35,57.1,235,2,5.7,0,0.0,12,46,6.7,7.9,11.8,235.0,96.7,47.8,0,0,6.71,7.86,0.0,,
48,49,Tyrod Taylor ,LAC,31,qb,2,1,1-0-0,16,30,53.3,208,0,0.0,0,0.0,10,37,6.9,6.9,13.0,104.0,75.4,20.8,2,1,6.47,6.47,6.3,1,1
49,50,Brandon Allen,CIN,28,qb,1,1,0-1-0,17,29,58.6,136,1,3.4,1,3.4,5,18,4.7,3.8,8.0,136.0,67.6,10.9,2,21,3.71,2.90,6.5,,
50,51,Brian Hoyer ,NWE,35,qb,1,1,0-1-0,15,24,62.5,130,0,0.0,1,4.2,8,25,5.4,3.5,8.7,130.0,59.4,27.6,2,18,4.31,2.58,7.7,,
51,52,Jarrett Stidham,NWE,24,,2,0,,11,23,47.8,124,1,4.3,3,13.0,8,30,5.4,0.4,11.3,62.0,39.3,17.9,1,7,4.88,0.08,4.2,,
52,53,Robert Griffin III,BAL,30,qb,4,1,0-1-0,8,14,57.1,42,0,0.0,2,14.3,1,9,3.0,-3.4,5.3,10.5,22.6,27.5,3,20,1.29,-4.00,17.6,,
53,54,Chase Daniel,DET,34,,1,0,,8,13,61.5,94,1,7.7,1,7.7,6,28,7.2,5.3,11.8,94.0,77.1,18.4,0,0,7.23,5.31,0.0,,
54,55,Jameis Winston,NOR,26,,3,0,,7,11,63.6,75,0,0.0,0,0.0,5,19,6.8,6.8,10.7,25.0,83.5,14.8,2,11,4.92,4.92,15.4,,
55,56,Ryan Finley,CIN,26,,2,0,,3,10,30.0,30,0,0.0,1,10.0,1,14,3.0,-1.5,10.0,15.0,0.0,20.9,4,31,-0.07,-3.29,28.6,,
56,57,Case Keenum,CLE,32,,1,0,,5,10,50.0,46,0,0.0,0,0.0,2,24,4.6,4.6,9.2,46.0,62.9,44.4,0,0,4.60,4.60,0.0,,
57,58,Colt McCoy,NYG,34,,1,0,,6,10,60.0,31,0,0.0,0,0.0,2,15,3.1,3.1,5.2,31.0,65.0,23.2,0,0,3.10,3.10,0.0,,
58,59,Kendall Hinton,DEN,23,,1,0,0-1-0,1,9,11.1,13,0,0.0,2,22.2,1,13,1.4,-8.6,13.0,13.0,0.0,0.1,1,1,1.20,-7.80,10.0,,
59,60,Jacoby Brissett,IND,28,,6,0,,2,7,28.6,17,0,0.0,0,0.0,1,13,2.4,2.4,8.5,2.8,39.6,77.1,2,15,0.22,0.22,22.2,,
60,61,Chad Henne,KAN,35,,2,0,,5,6,83.3,30,0,0.0,0,0.0,2,11,5.0,5.0,6.0,15.0,87.5,2.0,1,3,3.86,3.86,14.3,,
61,62,Trace McSorley,BAL,25,,1,0,,2,6,33.3,77,1,16.7,0,0.0,1,70,12.8,16.2,38.5,77.0,121.5,89.5,0,0,12.83,16.17,0.0,,
62,63,Matt Barkley,BUF,30,,2,0,,3,5,60.0,22,0,0.0,0,0.0,2,11,4.4,4.4,7.3,11.0,70.4,0.8,1,7,2.50,2.50,16.7,,
63,64,Tyler Bray,CHI,29,,1,0,,1,5,20.0,18,0,0.0,0,0.0,1,18,3.6,3.6,18.0,18.0,42.1,11.0,0,0,3.60,3.60,0.0,,
64,65,Nathan Peterman ,LVR,26,,1,0,,3,5,60.0,25,0,0.0,0,0.0,1,12,5.0,5.0,8.3,25.0,72.9,34.1,2,16,1.29,1.29,28.6,,
65,66,Mason Rudolph,PIT,25,,4,0,,3,4,75.0,9,0,0.0,0,0.0,0,6,2.3,2.3,3.0,2.3,77.1,57.3,0,0,2.25,2.25,0.0,,
66,67,Jalen Hurts ,PHI,22,,10,0,,3,3,100.0,33,0,0.0,0,0.0,1,18,11.0,11.0,11.0,3.3,112.5,9.7,0,0,11.00,11.00,0.0,,
67,68,Julian Edelman,NWE,34,wr,6,1,,2,2,100.0,38,0,0.0,0,0.0,2,22,19.0,19.0,19.0,6.3,118.7,98.8,0,0,19.00,19.00,0.0,,
68,69,Travis Kelce,KAN,31,TE,11,11,,1,2,50.0,4,0,0.0,0,0.0,1,4,2.0,2.0,4.0,0.4,56.2,63.8,0,0,2.00,2.00,0.0,,
69,70,Jarvis Landry ,CLE,28,WR,11,10,,2,2,100.0,56,1,50.0,0,0.0,2,37,28.0,38.0,28.0,5.1,158.3,100.0,0,0,28.00,38.00,0.0,,
70,71,Golden Tate,NYG,32,wr,9,3,,1,2,50.0,18,0,0.0,0,0.0,1,18,9.0,9.0,18.0,2.0,81.2,6.2,0,0,9.00,9.00,0.0,,
71,72,Jamal Agnew,DET,25,wr,9,1,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,1.5,0,0,0.00,0.00,0.0,,
72,73,Keenan Allen,LAC,28,WR,11,10,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,2.4,0,0,0.00,0.00,0.0,,
73,74,Cole Beasley,BUF,31,wr,11,7,,1,1,100.0,20,1,100.0,0,0.0,1,20,20.0,40.0,20.0,1.8,158.3,100.0,0,0,20.00,40.00,0.0,,
74,75,Odell Beckham Jr.,CLE,28,wr,7,7,,1,1,100.0,18,0,0.0,0,0.0,1,18,18.0,18.0,18.0,2.6,118.7,99.3,0,0,18.00,18.00,0.0,,
75,76,Tyler Boyd,CIN,26,wr,11,8,,1,1,100.0,16,0,0.0,0,0.0,1,16,16.0,16.0,16.0,1.5,118.7,84.1,0,0,16.00,16.00,0.0,,
76,77,Joseph Charlton,CAR,23,p,12,0,,1,1,100.0,28,0,0.0,0,0.0,1,28,28.0,28.0,28.0,2.3,118.7,99.9,1,5,11.50,11.50,50.0,,
77,78,Randall Cobb,HOU,30,wr,10,2,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,4.4,0,0,0.00,0.00,0.0,,
78,79,Blaine Gabbert,TAM,31,,3,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,0.8,0,0,0.00,0.00,0.0,,
79,80,Russell Gage,ATL,24,wr,11,4,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,0.1,0,0,0.00,0.00,0.0,,
80,81,Chris Jones,DAL,31,p,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
81,82,Brett Kern,TEN,34,p,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,0.1,0,0,0.00,0.00,0.0,,
82,83,Sam Koch,BAL,38,p,11,0,,1,1,100.0,15,0,0.0,0,0.0,1,15,15.0,15.0,15.0,1.4,118.7,,0,0,15.00,15.00,0.0,,
83,84,Isaiah McKenzie,BUF,25,wr,11,4,,1,1,100.0,12,1,100.0,0,0.0,1,12,12.0,32.0,12.0,1.1,156.2,91.8,0,0,12.00,32.00,0.0,,
84,85,Jakobi Meyers,NWE,24,wr,9,4,,1,1,100.0,24,1,100.0,0,0.0,1,24,24.0,44.0,24.0,2.7,158.3,100.0,0,0,24.00,44.00,0.0,,
85,86,D.J. Moore,CAR,23,WR,12,12,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
86,87,Zach Pascal,IND,26,WR,11,11,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,3.0,0,0,0.00,0.00,0.0,,
87,88,Easton Stick,LAC,25,,1,0,,1,1,100.0,4,0,0.0,0,0.0,0,4,4.0,4.0,4.0,4.0,83.3,1.5,0,0,4.00,4.00,0.0,,
88,89,Logan Thomas,WAS,29,TE,11,10,,1,1,100.0,28,0,0.0,0,0.0,1,28,28.0,28.0,28.0,2.5,118.7,98.7,0,0,28.00,28.00,0.0,,
89,90,Tommy Townsend,KAN,24,p,11,0,,1,1,100.0,13,0,0.0,0,0.0,1,13,13.0,13.0,13.0,1.2,118.7,,0,0,13.00,13.00,0.0,,
90,91,Cedrick Wilson Jr.,DAL,25,,11,0,,1,1,100.0,11,1,100.0,0,0.0,1,11,11.0,31.0,11.0,1.0,152.1,100.0,0,0,11.00,31.00,0.0,,
91,92,Logan Woodside ,TEN,25,,3,0,,1,1,100.0,7,0,0.0,0,0.0,1,7,7.0,7.0,7.0,2.3,95.8,88.8,0,0,7.00,7.00,0.0,,
